launch_id,mission_id,launch_date,year,quarter,launch_site,country,vehicle,payload_mass_kg,mission_type,success,cost_million_usd,orbit
LCH-0000119,MSN-0000119,2003-12-12,2003,4,Cape Canaveral,USA,Atlas V,9683.3,Supply/Resupply,True,14.42,LEO
LCH-0000120,MSN-0000120,1996-03-03,1996,1,Vandenberg SFB,USA,PSLV,6320.4,Communications,True,17.47,GEO
LCH-0000121,MSN-0000121,2018-03-08,2018,1,Baikonur Cosmodrome,Russia,Delta IV,632.5,Technology Demonstration,True,0.6,LEO
LCH-0000122,MSN-0000122,2016-10-15,2016,4,Satish Dhawan Space Centre,India,NURI,3027.4,Navigation,True,8.05,HEO
LCH-0000123,MSN-0000123,1974-08-21,1974,3,Wenchang Space Launch Site,China,Angara,874.4,Earth Observation,True,1.43,SSO
LCH-0000124,MSN-0000124,1975-02-20,1975,1,Kennedy Space Center,USA,H3,2240.9,Deep Space,True,6.47,GEO
LCH-0000125,MSN-0000125,2021-10-21,2021,4,Guiana Space Centre,ESA,Vulcan Centaur,1047.8,Earth Observation,True,2.65,LEO
LCH-0000126,MSN-0000126,1976-11-06,1976,4,Tanegashima Space Center,Japan,Falcon Heavy,20697.8,Space Station,True,37.47,LEO
LCH-0000127,MSN-0000127,2022-07-14,2022,3,Jiuquan Satellite Launch Center,China,Long March 2,7672.2,Communications,True,5.65,GEO
LCH-0000128,MSN-0000128,2014-11-20,2014,4,Guiana Space Centre,ESA,Antares,5912.4,Communications,True,16.51,LEO
LCH-0000129,MSN-0000129,2012-03-20,2012,1,Kennedy Space Center,USA,Other,1480.0,Science,True,3.22,HEO
LCH-0000130,MSN-0000130,2013-09-03,2013,3,Tanegashima Space Center,Japan,Shavit,771.5,Technology Demonstration,True,1.09,GEO
LCH-0000131,MSN-0000131,2023-08-07,2023,3,Kennedy Space Center,USA,Soyuz,1876.8,Earth Observation,True,4.56,Lunar
LCH-0000132,MSN-0000132,1970-06-25,1970,2,Tanegashima Space Center,Japan,H3,5385.0,Military Reconnaissance,True,5.13,LEO
LCH-0000133,MSN-0000133,2021-12-15,2021,4,Guiana Space Centre,ESA,Falcon Heavy,1504.2,Science,True,3.58,LEO
LCH-0000134,MSN-0000134,1990-08-27,1990,3,Satish Dhawan Space Centre,India,Vulcan Centaur,3681.9,Communications,False,6.09,LEO
LCH-0000135,MSN-0000135,2006-03-27,2006,1,Vandenberg SFB,USA,Vulcan Centaur,5978.7,Communications,True,11.28,SSO
LCH-0000136,MSN-0000136,2019-05-03,2019,2,Kennedy Space Center,USA,Electron,3869.3,Deep Space,True,9.97,LEO
LCH-0000137,MSN-0000137,2018-06-01,2018,2,Kennedy Space Center,USA,Long March 7,2533.4,Military Reconnaissance,False,2.69,LEO
LCH-0000138,MSN-0000138,2014-06-26,2014,2,Cape Canaveral,USA,Antares,1492.6,Earth Observation,True,3.34,LEO
LCH-0000139,MSN-0000139,2002-01-03,2002,1,Vandenberg SFB,USA,Falcon 9,692.6,Technology Demonstration,True,1.08,LEO
LCH-0000140,MSN-0000140,1980-04-14,1980,2,Satish Dhawan Space Centre,India,Shavit,2827.8,Communications,True,7.33,SSO
LCH-0000141,MSN-0000141,2011-10-08,2011,4,Vostochny Cosmodrome,Russia,Other,677.7,Science,True,0.66,LEO
LCH-0000142,MSN-0000142,1997-09-18,1997,3,Guiana Space Centre,ESA,PSLV,2334.7,Science,True,3.45,SSO
LCH-0000143,MSN-0000143,2024-05-24,2024,2,Baikonur Cosmodrome,Russia,Falcon 9,2409.2,Science,True,5.85,LEO
LCH-0000144,MSN-0000144,1971-09-11,1971,3,Guiana Space Centre,ESA,Shavit,5611.9,Communications,False,16.57,LEO
LCH-0000145,MSN-0000145,1981-12-25,1981,4,Plesetsk Cosmodrome,Russia,Ariane 5,1924.0,Earth Observation,False,5.45,LEO
LCH-0000146,MSN-0000146,2007-05-02,2007,2,Wenchang Space Launch Site,China,Shavit,33507.8,Space Station,True,89.28,LEO
LCH-0000147,MSN-0000147,1998-07-24,1998,3,Vostochny Cosmodrome,Russia,Ariane 5,50.0,Earth Observation,True,0.07,SSO
LCH-0000148,MSN-0000148,1976-07-03,1976,3,Satish Dhawan Space Centre,India,Long March 7,8526.2,Communications,False,11.11,GEO
LCH-0000149,MSN-0000149,1994-10-23,1994,4,Vandenberg SFB,USA,Long March 7,193.5,Technology Demonstration,True,0.39,LEO
LCH-0000150,MSN-0000150,2017-01-03,2017,1,Vostochny Cosmodrome,Russia,NURI,2138.2,Science,True,6.16,GEO
LCH-0000151,MSN-0000151,2017-01-05,2017,1,Cape Canaveral,USA,Atlas V,1277.6,Science,True,2.57,LEO
LCH-0000152,MSN-0000152,1998-02-19,1998,1,Guiana Space Centre,ESA,Antares,6500.2,Supply/Resupply,True,7.31,GEO
LCH-0000153,MSN-0000153,2005-07-18,2005,3,Vandenberg SFB,USA,Delta IV,478.9,Technology Demonstration,False,1.07,LEO
LCH-0000154,MSN-0000154,1982-02-15,1982,1,Unknown Launch Site,Other,Electron,2368.0,Earth Observation,True,5.98,SSO
LCH-0000155,MSN-0000155,2012-12-03,2012,4,Cape Canaveral,Italy,GSLV,32118.7,Space Station,True,79.79,GEO
LCH-0000156,MSN-0000156,1987-03-08,1987,1,Xichang Satellite Launch Center,China,Ariane 6,514.4,Earth Observation,True,0.86,LEO
LCH-0000157,MSN-0000157,2020-02-10,2020,1,Unknown Launch Site,Other,Long March 5,1310.1,Earth Observation,True,1.07,Lunar
LCH-0000158,MSN-0000158,2003-09-12,2003,3,Kennedy Space Center,USA,Antares,541.5,Earth Observation,True,1.07,SSO
LCH-0000159,MSN-0000159,2005-01-27,2005,1,Satish Dhawan Space Centre,India,Delta IV,1341.4,Earth Observation,False,1.83,GEO
LCH-0000160,MSN-0000160,2019-05-07,2019,2,Al Anbar,UAE,Shavit,5120.9,Military Reconnaissance,True,10.43,GTO
LCH-0000161,MSN-0000161,2009-10-05,2009,4,Cape Canaveral,USA,Electron,1574.9,Science,True,0.95,GEO
LCH-0000162,MSN-0000162,2023-10-09,2023,4,Cape Canaveral,France,Shavit,427.9,Earth Observation,True,0.75,LEO
LCH-0000163,MSN-0000163,2023-08-08,2023,3,Taiyuan Satellite Launch Center,China,NURI,2074.1,Communications,True,3.55,LEO
LCH-0000164,MSN-0000164,1995-12-11,1995,4,Kennedy Space Center,USA,Long March 3,2195.6,Science,True,3.92,Heliocentric
LCH-0000165,MSN-0000165,1980-08-08,1980,3,Vandenberg SFB,USA,Antares,4507.7,Communications,True,13.1,LEO
LCH-0000166,MSN-0000166,2022-12-11,2022,4,Vandenberg SFB,UK,Vulcan Centaur,19766.9,Crewed Mission,True,34.53,MEO
LCH-0000167,MSN-0000167,2023-09-15,2023,3,Kennedy Space Center,USA,Soyuz,1344.8,Earth Observation,True,2.93,LEO
LCH-0000168,MSN-0000168,1979-03-09,1979,1,Kennedy Space Center,USA,Long March 3,1705.7,Earth Observation,True,1.07,MEO
LCH-0000169,MSN-0000169,1993-07-17,1993,3,Xichang Satellite Launch Center,China,Ariane 5,3883.8,Communications,True,3.19,MEO
LCH-0000170,MSN-0000170,2024-09-12,2024,3,Vandenberg SFB,USA,Antares,10907.6,Communications,True,6.55,LEO
LCH-0000171,MSN-0000171,2017-09-15,2017,3,Vandenberg SFB,USA,Antares,233.8,Technology Demonstration,True,0.35,GEO
LCH-0000172,MSN-0000172,2009-09-27,2009,3,Taiyuan Satellite Launch Center,China,PSLV,2869.9,Deep Space,True,4.84,GEO
LCH-0000173,MSN-0000173,1979-07-19,1979,3,Kennedy Space Center,USA,Angara,4528.6,Communications,True,5.27,SSO
LCH-0000174,MSN-0000174,2008-04-24,2008,2,Xichang Satellite Launch Center,China,Falcon Heavy,4983.9,Supply/Resupply,True,4.33,GEO
LCH-0000175,MSN-0000175,2023-02-07,2023,1,Guiana Space Centre,ESA,Falcon 9,779.5,Earth Observation,True,2.09,LEO
LCH-0000176,MSN-0000176,1982-04-18,1982,2,Guiana Space Centre,ESA,Long March 2,1903.3,Earth Observation,True,2.44,Lunar
LCH-0000177,MSN-0000177,1996-06-22,1996,2,Cape Canaveral,USA,NURI,3042.9,Military Reconnaissance,True,3.64,GEO
LCH-0000178,MSN-0000178,2024-05-23,2024,2,Vandenberg SFB,USA,Vulcan Centaur,5427.4,Supply/Resupply,True,7.45,GEO
LCH-0000179,MSN-0000179,1992-02-19,1992,1,Naro Space Center,South Korea,NURI,1597.2,Weather,True,1.96,GEO
LCH-0000180,MSN-0000180,1997-08-21,1997,3,Cape Canaveral,USA,Proton-M,316.9,Technology Demonstration,True,0.37,MEO
LCH-0000181,MSN-0000181,1979-12-19,1979,4,Jiuquan Satellite Launch Center,China,Soyuz,3812.0,Communications,False,2.86,LEO
LCH-0000182,MSN-0000182,2013-03-01,2013,1,Vostochny Cosmodrome,Russia,GSLV,1137.8,Navigation,True,1.93,Heliocentric
LCH-0000183,MSN-0000183,1995-11-02,1995,4,Kennedy Space Center,USA,Atlas V,8365.3,Supply/Resupply,False,23.28,GEO
LCH-0000184,MSN-0000184,1985-01-27,1985,1,Cape Canaveral,USA,Long March 5,7256.2,Military Reconnaissance,True,21.08,SSO
LCH-0000185,MSN-0000185,1963-10-20,1963,4,Palmachim Air Base,Israel,Delta IV,2878.9,Military Reconnaissance,False,7.84,HEO
LCH-0000186,MSN-0000186,1992-02-11,1992,1,Cape Canaveral,USA,Electron,2757.8,Navigation,True,2.66,MEO
LCH-0000187,MSN-0000187,2008-04-06,2008,2,Guiana Space Centre,ESA,H3,1947.4,Weather,True,2.93,SSO
LCH-0000188,MSN-0000188,2003-04-01,2003,2,Cape Canaveral,USA,Proton-M,10968.0,Space Station,True,31.64,LEO
LCH-0000189,MSN-0000189,1964-11-12,1964,4,Cape Canaveral,USA,Other,334.2,Technology Demonstration,True,0.59,LEO
LCH-0000190,MSN-0000190,1994-02-21,1994,1,Kennedy Space Center,Germany,Angara,208.1,Technology Demonstration,True,0.35,LEO
LCH-0000191,MSN-0000191,1998-12-18,1998,4,Plesetsk Cosmodrome,Russia,Ariane 6,24798.1,Space Station,True,44.98,MEO
LCH-0000192,MSN-0000192,2022-02-02,2022,1,Jiuquan Satellite Launch Center,China,GSLV,1459.9,Communications,True,1.33,HEO
LCH-0000193,MSN-0000193,2013-12-19,2013,4,Vandenberg SFB,France,Ariane 6,548.1,Navigation,True,0.9,LEO
LCH-0000194,MSN-0000194,2018-12-01,2018,4,Vandenberg SFB,USA,Long March 5,1905.2,Navigation,True,3.71,LEO
LCH-0000195,MSN-0000195,1974-01-03,1974,1,Kennedy Space Center,USA,Ariane 6,2122.4,Communications,False,4.49,LEO
LCH-0000196,MSN-0000196,1999-07-13,1999,3,Plesetsk Cosmodrome,Russia,Atlas V,27420.2,Space Station,True,58.51,GEO
LCH-0000197,MSN-0000197,2006-09-05,2006,3,Vostochny Cosmodrome,Russia,Soyuz,1586.0,Earth Observation,True,2.9,SSO
LCH-0000198,MSN-0000198,1997-05-07,1997,2,Tanegashima Space Center,Japan,Delta IV,50.0,Communications,True,0.06,LEO
LCH-0000199,MSN-0000199,2002-11-23,2002,4,Vandenberg SFB,USA,Falcon Heavy,2730.5,Science,True,2.32,LEO
LCH-0000200,MSN-0000200,2022-10-11,2022,4,Unknown Launch Site,Other,H-IIA,5590.0,Communications,True,6.11,GEO
LCH-0000201,MSN-0000201,2006-07-10,2006,3,Kennedy Space Center,France,Proton-M,35611.0,Space Station,False,67.29,LEO
